landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,,
A10001,14165.11295,8.25,37.5,18.75,3.352014568,56.96804625,30,25.56669755,6,4.401499236,18.16381792,18.16387,22.78600232,13.61128895,9.393860205,9.394597803,129.176559,360,18.16381792,,
A10003,6795.082617,8.25,37.5,18.75,3.52513167,37.23767427,30,24.80003477,6,3.253489332,20.21001694,20.21001992,22.10925489,11.41028217,18.63800777,18.63550618,108.3394389,360,20.21001694,,LWM is purposefully unbalanced
A10005,46786.81233,8.25,37.5,18.75,3.713470614,61.49922894,30,28.80507928,6,5.302914685,21.08934246,21.08931793,25.66865556,13.59109891,14.49130419,14.49935919,128.9642229,360,21.08934246,,  The modified TN is the target
A11001,150,8.25,37.5,18.75,3.92883453,30.15548744,30,25.53946612,6,3.505867411,20.66811192,20.66805627,22.71221749,4.911247814,9.146512234,9.119487641,46.76941051,360,20.66811192,,   that hitill would have and the 
A24001,592.4726533,8.25,37.5,18.75,2.660079547,34.24204095,30,38.30339144,6,6.891686706,12.37067663,12.37071677,34.17473689,6.132085076,9.054976862,9.045278248,58.29621721,360,12.37067663,,   surface has an 18% reduction
A24003,1814.349411,8.25,37.5,18.75,3.648783371,29.20825769,30,25.2427773,6,4.17182959,20.26298712,20.26301712,22.51280325,8.119588254,17.67294284,17.6757276,77.1488337,360,20.26298712,,   for N and 30% for P
A24005,861.4957648,8.25,37.5,18.75,3.605769206,38.93839432,30,27.9581978,6,7.576288389,19.66917864,19.66918152,24.94221401,9.405976624,11.96275376,11.95544297,89.35649172,360,19.66917864,,
A24009,657.2134421,8.25,37.5,18.75,3.230479279,35.32295976,30,27.2963044,6,4.505484204,17.75868589,17.75868858,24.34263622,6.700848191,10.90232772,10.90070384,63.70074429,360,17.75868589,,
A24011,30358.13923,8.25,37.5,18.75,3.630595062,42.53422335,30,30.99181298,6,5.031306029,20.7255603,20.72553641,27.61521034,11.67219459,18.46397124,18.4820826,110.7738296,360,20.7255603,,
A24013,1543.914643,8.25,37.5,18.75,3.487959188,52.86624911,30,29.55468473,6,7.170556311,18.58229039,18.58229314,26.3676747,10.42230728,11.76125085,11.7603937,98.99241931,360,18.58229039,,
A24015,4974.573707,8.25,37.5,18.75,3.476495669,38.10241916,30,29.38468402,6,7.530162053,19.28839656,19.28832236,26.19199265,9.97696114,10.93598688,10.93109639,94.74741079,360,19.28839656,,
A24017,947.7507155,8.25,37.5,18.75,3.159952153,29.16347296,30,25.66606375,6,3.863313937,16.27063977,16.27059603,22.88215342,7.368516384,11.99352212,11.98630005,70.0089412,360,16.27063977,,
A24019,43298.12979,8.25,37.5,18.75,2.981609986,40.46449141,30,24.43744637,6,4.783245641,16.62442321,16.6244475,21.76359138,8.334777685,16.64042559,16.6524321,79.11443241,360,16.62442321,,
A24021,1361.90378,8.25,37.5,18.75,3.40690276,34.63502009,30,30.35806614,6,6.849188202,17.30144237,17.30147003,27.08846722,11.80218329,11.33456804,11.32989197,112.0987074,360,17.30144237,,
A24023,1050.685351,8.25,37.5,18.75,3.345635978,36.19192294,30,35.75035606,6,6.859885265,20.90761276,20.9075665,31.95294593,7.631079628,20.97275836,20.97802313,72.52326596,360,20.90761276,,
A24025,625.3199475,8.25,37.5,18.75,3.469408924,39.19819263,30,28.53039895,6,7.027583565,19.8274009,19.82760887,25.453978,9.698439167,14.85842758,14.85583349,92.12880896,360,19.8274009
A24027,638.373182,8.25,37.5,18.75,3.622993511,28.27652947,30,28.38583215,6,7.579761779,19.52777841,19.52778126,25.32724044,9.198608387,12.17327254,12.17435058,87.38681462,360,19.52777841
A24029,22245.83546,8.25,37.5,18.75,3.456147837,35.52666955,30,30.89357117,6,3.584516068,19.46058281,19.4605602,27.55871162,9.498514354,17.39633368,17.40062901,90.19206823,360,19.46058281
A24031,775.1008434,8.25,37.5,18.75,3.577155802,27.47726158,30,25.36275243,6,7.181830522,18.27093789,18.27099349,22.61792042,9.477998884,10.11541726,10.11187917,90.03679259,360,18.27093789
A24033,2282.194823,8.25,37.5,18.75,3.512748234,34.65646241,30,28.30905717,6,4.284330754,18.27150595,18.27153459,25.25606344,8.692797408,10.13481089,10.13403584,82.57175534,360,18.27150595
A24035,15251.70193,8.25,37.5,18.75,3.39197877,46.28656641,30,27.83867151,6,3.424393165,18.79819281,18.79814562,24.81712022,10.13265322,13.17316303,13.18541173,96.21685054,360,18.79819281
A24037,1286.0352,8.25,37.5,18.75,2.993747756,31.83780095,30,26.04157577,6,3.382394209,15.80542218,15.80542463,23.21415149,8.236284202,10.49869707,10.48833916,78.2123951,360,15.80542218
A24039,45582.05038,8.25,37.5,18.75,3.306364805,39.97600772,30,23.44097121,6,4.577544895,19.3324879,19.33246648,20.88187744,10.65837123,18.36424341,18.39113855,101.133351,360,19.3324879
A24041,19857.80957,8.25,37.5,18.75,3.203177871,40.11542013,30,26.50602963,6,4.120829943,18.07146305,18.07155972,23.62566621,9.503997005,17.19449142,17.19675504,90.2474395,360,18.07146305
A24043,2519.842878,8.25,37.5,18.75,3.210163224,34.20998123,30,31.23862379,6,6.398755307,15.49476793,15.4947233,27.89173193,10.20853231,8.241558419,8.226029993,96.96371559,360,15.49476793
A24045,41960.63615,8.25,37.5,18.75,3.496119666,37.30856646,30,27.18768957,6,4.446480962,20.0291107,20.02916534,24.22121493,13.8085083,13.46400709,13.4725738,130.9906565,360,20.0291107
A24047,44909.25846,8.25,37.5,18.75,3.144131823,37.89806559,30,24.4524175,6,5.204096709,17.67796689,17.67801561,21.79799956,9.094695707,13.02831877,13.03782647,86.32472131,360,17.67796689
A24510,150,8.25,37.5,18.75,4.053492877,38.647659,30,28.82795153,6,8.174926832,22.90793608,22.9076968,25.65163212,4.934713839,17.81607396,17.80803991,46.99463503,360,22.90793608
A36003,4375.801974,8.25,37.5,18.75,2.86684431,43.30539521,30,41.87099838,6,2.883158518,13.47371341,13.47375697,37.44496465,6.752060197,12.13697582,12.11749234,64.179469,360,13.47371341
A36007,4717.159922,8.25,37.5,18.75,2.867055997,37.01057936,30,44.5935663,6,3.264606816,14.3486132,14.34865698,39.87811103,6.721610689,14.74952325,14.74035292,63.89240397,360,14.3486132
A36015,3697.772981,8.25,37.5,18.75,2.774398846,38.47558841,30,38.74818761,6,3.527132787,12.49905086,12.49907282,33.48165705,6.270602763,10.88819859,10.85810215,59.61612025,360,12.49905086
A36017,6462.949721,8.25,37.5,18.75,2.848119306,43.33883218,30,45.22647007,6,2.893298831,15.59068931,15.59054722,40.44098821,6.882613635,17.50510771,17.49363292,65.42166749,360,15.59068931
A36023,7690.409092,8.25,37.5,18.75,3.021819893,36.2993828,30,44.62890658,6,2.26561487,16.68657992,16.68664857,39.91710951,7.0989326,17.71213638,17.68475971,67.47461577,360,16.68657992
A36025,5905.868386,8.25,37.5,18.75,2.737256109,36.26597783,30,47.12416516,6,3.08342754,14.14946626,14.14929093,42.96626129,6.550695455,14.83557715,14.81074587,62.27337921,360,14.14946626
A36043,7613.588899,8.25,37.5,18.75,2.634202218,41.86231832,30,42.5873987,6,2.727082327,15.59713917,15.59780661,38.10268249,7.192773307,16.63048643,16.63234777,68.35887335,360,15.59713917
A36051,8560.449203,8.25,37.5,18.75,2.925485566,42.34894753,30,40.24676634,6,3.142485016,13.67537153,13.67539483,36.03014312,7.722794571,13.15538948,13.1564293,73.38567531,360,13.67537153
A36053,9064.128929,8.25,37.5,18.75,3.088684838,32.5239514,30,40.7542126,6,2.845032146,17.43978228,17.44021375,36.45385477,7.619564934,15.99285188,15.97641702,72.4125796,360,17.43978228
A36065,6815.88623,8.25,37.5,18.75,2.858180161,58.57549335,30,39.22106931,6,2.603604985,16.77830197,16.7784291,35.08360121,7.203076996,16.37741583,16.37711918,68.46058451,360,16.77830197
A36067,10638.24006,8.25,37.5,18.75,3.253049247,34.52219681,30,38.0875022,6,2.948089672,18.36139649,18.36142313,34.05909358,8.943032918,17.64277938,17.64005551,84.94818461,360,18.36139649
A36069,8220.260164,8.25,37.5,18.75,3.047356464,44.35670936,30,37.74360022,6,3.900786287,13.70564635,13.7057148,33.7594182,8.367340982,11.95324472,11.95322128,79.49002158,360,13.70564635
A36077,5654.615132,8.25,37.5,18.75,2.794036366,37.68291383,30,40.52229086,6,3.020362969,14.43804661,14.43806907,36.27296578,6.722287017,15.73088946,15.72424288,63.90079047,360,14.43804661
A36095,5064.111923,8.25,37.5,18.75,2.750428244,34.91167216,30,40.51319577,6,3.150330328,14.53940902,14.53943118,36.26509317,6.949624563,15.6470117,15.63737902,66.05319315,360,14.53940902
A36097,4242.043362,8.25,37.5,18.75,2.871134804,37.95914383,30,40.12997983,6,3.629926504,13.23910829,13.23906888,35.88940488,6.430683344,12.42488909,12.41218183,61.13348464,360,13.23910829
A36101,5018.567169,8.25,37.5,18.75,2.734990424,33.64428233,30,38.03440896,6,3.093453851,11.20246066,11.20234463,34.02214766,6.369798111,9.487561061,9.47182684,60.55342333,360,11.20246066
A36107,5529.181887,8.25,37.5,18.75,2.812120002,36.22032466,30,43.70644012,6,3.376668672,13.32996588,13.32994769,39.0855779,6.8728755,13.61588885,13.60838891,65.32447751,360,13.32996588
A36109,6365.920676,8.25,37.5,18.75,2.965478161,33.57154364,30,38.88552879,6,2.909912225,15.39255928,15.39251858,34.77048667,7.825409735,16.39452816,16.39879034,74.35863921,360,15.39255928
A36123,4319.205586,8.25,37.5,18.75,2.853575149,39.81435728,30,39.18561053,6,3.94685908,12.87722406,12.87767872,35.04727102,7.747676767,12.04385331,12.03807239,73.61843037,360,12.87722406
A42001,4878.070621,8.25,37.5,18.75,3.50179779,35.83918788,30,36.13673444,6,8.283571455,18.88943386,18.88943666,32.26075566,9.26596304,13.65464985,13.64431445,88.00713073,360,18.88943386
A42009,1578.402995,8.25,37.5,18.75,2.946953297,34.61390071,30,37.22112424,6,6.688817005,14.44518468,14.44518693,33.24607033,8.643982309,12.80304769,12.80743689,82.13304086,360,14.44518468
A42011,3320.026433,8.25,37.5,18.75,3.535825573,34.43587108,30,35.68998066,6,7.354803768,21.21075439,21.21070517,31.88065609,15.18703831,22.68330185,22.6887235,144.1845492,360,21.21075439
A42013,2593.501735,8.25,37.5,18.75,3.166631455,34.54176699,30,38.79931807,6,7.214123474,16.37920453,16.37934598,34.66131457,15.50480656,14.65090037,14.6521818,147.2239953,360,16.37920453
A42015,1837.750669,8.25,37.5,18.75,2.928659193,36.89167771,30,36.20150656,6,6.600578716,13.78153887,13.78154103,32.37181008,8.869094193,12.52107325,12.51189948,84.26594587,360,13.78153887
A42021,683.3926797,8.25,37.5,18.75,3.412753728,38.00955755,30,33.53928731,6,6.699474428,19.95946322,19.95956692,29.9709072,8.392780695,18.75237118,18.76196559,79.74361865,360,19.95946322
A42023,11720.84617,8.25,37.5,18.75,2.899558633,36.39990532,30,39.93112254,6,11.38338383,17.56031698,17.56031972,38.27807227,14.93989666,18.40807051,18.39356538,141.7901867,360,17.56031698
A42025,696.8727508,8.25,37.5,18.75,3.272672675,33.69280541,30,33.26172631,6,6.849001644,23.96290201,23.96283305,22.38571827,8.524751009,25.51906502,25.52466674,80.99780114,360,23.96290201
A42027,1463.072618,8.25,37.5,18.75,3.054281856,59.83455265,30,33.20651458,6,6.845298032,15.94998468,15.95000941,29.667783,9.504159835,12.26024482,12.26185603,90.29154675,360,15.94998468
A42029,1775.104802,8.25,37.5,18.75,3.77557486,34.49358359,30,32.46261578,6,7.749353201,22.40766858,22.40769993,29.00448194,12.03058253,15.09255308,15.08185866,114.2629475,360,22.40766858
A42033,649.8998191,8.25,37.5,18.75,3.024980192,38.68800538,30,33.87268354,6,6.917234444,16.72814814,16.72815073,30.27147221,7.836613229,17.2610619,17.25700691,74.4703639,360,16.72814814
A42035,1661.194099,8.25,37.5,18.75,2.908509189,33.28449205,30,34.40660264,6,7.000194559,16.87381928,16.87407596,30.74070842,12.01970582,17.22412363,17.21774244,114.1435217,360,16.87381928
A42037,1315.419656,8.25,37.5,18.75,3.068193208,50.46821843,30,33.77467468,6,6.527638458,17.39848748,17.39866947,30.16649335,8.869285854,18.1603337,18.14650887,84.2594834,360,17.39848748
A42041,1791.276695,8.25,37.5,18.75,3.327855013,34.69637186,30,35.99558029,6,7.078635644,17.27395758,17.27398461,32.14352666,12.82261239,13.19380421,13.19411589,121.7774325,360,17.27395758
A42043,3503.13809,8.25,37.5,18.75,3.395921545,34.97927982,30,36.94949514,6,7.592510151,17.92711811,17.92709577,32.99262665,12.20277702,12.85514332,12.86383743,115.8694008,360,17.92711811
A42047,491.1540993,8.25,37.5,18.75,3.02972815,34.16626719,30,35.16911041,6,6.675270246,18.01780966,18.01772383,31.43909237,7.274026593,18.21691277,18.22007921,69.13109206,360,18.01780966
A42055,3647.26397,8.25,37.5,18.75,3.456129685,35.37301279,30,37.45535172,6,7.26699374,18.11179377,18.11182195,33.45036015,15.16517932,11.45156356,11.44152521,143.9922412,360,18.11179377
A42057,1938.283207,8.25,37.5,18.75,3.045997224,37.17200391,30,37.0202035,6,7.024360892,14.82052226,14.82036933,33.03948612,8.106966128,12.25579005,12.2575786,77.02855238,360,14.82052226
A42061,1753.935311,8.25,37.5,18.75,2.945026281,34.25770681,30,37.23756429,6,7.080794409,14.62590763,14.62588854,33.25734127,9.122194832,13.65199871,13.64953871,86.66938926,360,14.62590763
A42063,981.4396702,8.25,37.5,18.75,3.273152638,33.4647477,30,34.15062753,6,6.700659063,18.58225607,18.58225887,30.51115449,8.363281301,19.59857818,19.57857425,79.47206312,360,18.58225607
A42065,765.7544789,8.25,37.5,18.75,3.083758713,35.87369192,30,32.64878294,6,6.661958056,17.35094473,17.35094739,29.18172934,7.596565337,19.39161044,19.37739949,72.19474756,360,17.35094473
A42067,4887.058431,8.25,37.5,18.75,3.191202535,35.32427856,30,36.76967937,6,10.49346492,16.19313316,16.19315899,32.83273589,11.80856747,12.49659887,12.49226736,112.0865604,360,16.19313316
A42069,1083.264215,8.25,37.5,18.75,3.183645653,33.5543919,30,38.95543741,6,6.88314782,17.58273296,17.58247896,34.82163947,8.02821578,14.86457062,14.86222449,76.2932261,360,17.58273296
A42071,5313.490716,8.25,37.5,18.75,4.325701266,35.32548122,30,38.57481717,6,11.9166283,23.48109821,23.48106891,34.43760813,22.35725325,13.17792542,13.1729097,212.1163849,360,23.48109821
A42075,6492.592759,8.25,37.5,18.75,3.998440051,40.92755551,30,38.58270262,6,11.23365908,22.39298353,22.39289705,34.44382558,18.36497088,14.47546761,14.47314572,174.263172,360,22.39298353
A42079,758.3378347,8.25,37.5,18.75,3.157600287,35.62058955,30,33.29941619,6,6.820071981,17.84196971,17.84187986,29.7511865,8.128138555,15.2129727,15.20331527,77.23992346,360,17.84196971
A42081,1221.23515,8.25,37.5,18.75,2.928525388,35.70166935,30,33.20398146,6,6.54304008,15.52028546,15.52028788,29.66685807,8.790819845,18.07610522,18.06763538,83.51283976,360,15.52028546
A42083,692.6426332,8.25,37.5,18.75,3.03606142,34.74339998,30,37.09823266,6,6.752564213,19.73821732,19.73826484,34.09829405,6.626578035,21.30389039,21.29092435,63.00138554,360,19.73821732
A42087,2208.232384,8.25,37.5,18.75,3.10498741,34.70608715,30,36.2688008,6,6.632884479,16.36642781,16.36645299,32.40716523,12.28556321,16.04587718,16.04791257,116.6518552,360,16.36642781
A42093,1555.737449,8.25,37.5,18.75,3.081877861,45.07441789,30,32.82534719,6,6.339368645,16.1272869,16.12731186,29.3198421,9.915488301,13.53043743,13.52821001,94.18205292,360,16.1272869
A42097,4333.661747,8.25,37.5,18.75,3.189025387,49.53796107,30,33.45614894,6,7.696490258,17.12617214,17.12617474,29.87988114,10.06736947,14.55760339,14.55970018,95.58863645,360,17.12617214
A42099,3988.679048,8.25,37.5,18.75,3.271786531,35.0905999,30,36.95820171,6,7.832077482,17.27956762,17.27961826,32.99986969,10.35849625,15.61768951,15.62819081,98.36464565,360,17.27956762
A42105,1441.448391,8.25,37.5,18.75,2.917967756,39.81384526,30,35.64486127,6,6.817962363,16.21315958,16.21324698,31.86142005,7.613264025,16.77837829,16.77555081,72.36103354,360,16.21315958
A42107,5694.99582,8.25,37.5,18.75,3.282194017,34.1126878,30,35.22917572,6,8.371293978,19.78110644,19.78115775,31.45575366,10.08289433,18.3256865,18.33149729,95.73350919,360,19.78110644
A42109,4042.899341,8.25,37.5,18.75,3.253215701,33.74490789,30,35.80514156,6,9.329796899,17.41923441,17.41926091,31.97261554,12.33820965,14.93055818,14.92348077,117.112971,360,17.41923441
A42111,1472.071799,8.25,37.5,18.75,3.166183819,36.67328447,30,34.97019168,6,6.611011291,17.28615498,17.28622709,31.25720965,9.431858829,16.3914328,16.38476883,89.61145676,360,17.28615498
A42113,1223.745137,8.25,37.5,18.75,3.166127863,36.74723368,30,37.11775922,6,6.953244032,18.10347695,18.10347971,33.18596434,8.432312124,20.78948543,20.79487497,80.12997258,360,18.10347695
A42115,1590.208621,8.25,37.5,18.75,3.096670452,34.49566808,30,40.97934146,6,7.127622054,17.77384009,17.77382017,36.66292663,7.518895339,18.63664081,18.64662883,71.46974377,360,17.77384009
A42117,1614.936204,8.25,37.5,18.75,2.852322333,37.7345481,30,37.0451167,6,6.617532439,13.05297944,13.05302267,33.1222648,7.458472351,12.83325772,12.8393739,70.89083335,360,13.05297944
A42119,3736.091568,8.25,37.5,18.75,3.21729231,40.73898432,30,34.90630287,6,8.237775952,18.49041985,18.49037544,31.17395732,15.09092108,21.2256961,21.23452622,143.2459363,360,18.49041985
A42127,1303.704682,8.25,37.5,18.75,3.050017758,37.36362847,30,45.61337788,6,6.997060614,19.74264456,19.74262527,40.78550345,7.931743496,22.42629895,22.42627712,75.38566169,360,19.74264456
A42131,1159.472496,8.25,37.5,18.75,2.866825066,34.10124888,30,34.18016798,6,6.767557148,13.91554102,13.91550169,30.55323355,7.569161265,11.48818374,11.46955514,71.94205502,360,13.91554102
A42133,2653.920441,8.25,37.5,18.75,3.550686822,43.18978377,30,35.29932538,6,7.463765948,18.74875008,18.74877909,31.53393392,10.0600889,11.76265534,11.7561735,95.54366867,360,18.74875008
A51001,49712.07177,8.25,37.5,18.75,2.787650744,40.0696544,30,24.96268394,6,12.04246271,15.88487839,15.88486072,22.24231541,7.476458477,17.09116303,17.08104784,70.9970106,360,15.88487839
A51003,739.443314,8.25,37.5,18.75,2.711536674,33.96275124,30,37.66209669,6,9.774770913,15.05388448,15.05390647,33.56114399,5.866032681,10.40108385,10.40564759,55.77491278,360,15.05388448
A51005,282.5381659,8.25,37.5,18.75,2.348289665,31.41032978,30,35.63699736,6,7.197809189,10.70489217,10.70487729,31.81006776,5.089453553,10.11042101,10.10851674,48.41914709,360,10.70489217
A51007,8148.187632,8.25,37.5,18.75,2.748751134,32.09737837,30,31.71173756,6,14.23338666,14.70617855,14.70618089,28.23055166,7.435010477,9.112049981,9.102176926,70.61346519,360,14.70617855
A51009,204.0564609,8.25,37.5,18.75,2.46412441,33.7037216,30,36.04225799,6,10.21164488,12.7854904,12.78549248,32.19629081,5.74206117,9.874513978,9.874106337,54.59571767,360,12.7854904
A51011,578.2953216,8.25,37.5,18.75,2.670045812,33.15997702,30,34.89520251,6,10.19478745,14.26933298,14.26935449,31.0715608,6.14898016,10.77287711,10.75592008,58.44272545,360,14.26933298
A51013,150,8.25,37.5,18.75,3.911205436,30.25969538,30,31.44735656,6,10.11543229,21.59393631,21.59388107,28.01069083,4.907946115,18.75963845,18.75179607,46.7377218,360,21.59393631
A51015,5094.408923,8.25,37.5,18.75,2.856831656,32.01250205,30,36.35963571,6,13.50297668,13.98776773,13.9877079,32.46489787,6.680756164,8.633325615,8.624068888,63.47283642,360,13.98776773
A51017,467.4155066,8.25,37.5,18.75,2.244675497,32.49483128,30,33.9975498,6,10.28449642,10.99416929,10.99417113,30.33433748,5.324871443,10.7346387,10.746748,50.64368327,360,10.99416929
A51019,623.7313614,8.25,37.5,18.75,2.558112193,32.16352119,30,53.53777371,6,9.74046158,13.55737562,13.5563661,47.55539031,6.091161527,10.03974762,10.05013577,57.8971744,360,13.55737562
A51023,787.2080381,8.25,37.5,18.75,2.35728776,32.92982005,30,35.8996041,6,9.977463243,11.29582144,11.29592386,32.04482949,5.850652711,11.02008742,11.02714284,55.62354859,360,11.29582144
A51029,3172.459739,8.25,37.5,18.75,2.590474472,33.40572968,30,42.49159919,6,11.9889395,13.19831656,13.19831869,37.76864159,6.525080098,9.731974252,9.745347053,61.97709761,360,13.19831656
A51031,556.9504278,8.25,37.5,18.75,2.570116342,31.08195336,30,32.92220873,6,9.032996764,13.24537738,13.24536107,29.38604298,6.049364478,9.748450746,9.753093268,57.50763684,360,13.24537738
A51033,673.3972701,8.25,37.5,18.75,2.983339477,33.15767198,30,24.9040013,6,9.552381321,15.2141617,15.21414236,22.1630528,5.930786349,8.627354163,8.618090948,56.35424915,360,15.2141617
A51036,2630.409415,8.25,37.5,18.75,2.91844617,32.0419129,30,28.41915619,6,9.203781578,15.94346051,15.943463,25.29322606,6.548088191,10.79658815,10.80461525,62.12373574,360,15.94346051
A51041,2474.326107,8.25,37.5,18.75,3.055583354,32.17735744,30,25.34852372,6,11.21751073,15.68916487,15.68918957,22.58974518,6.564389568,8.219424773,8.217328145,62.3905516,360,15.68916487
A51043,1700.317946,8.25,37.5,18.75,2.784388208,34.7721638,30,32.54306718,6,10.27319273,12.99325221,12.99008398,29.00946486,6.064436378,7.500047038,7.496044797,57.64290311,360,12.99325221
A51045,310.6924944,8.25,37.5,18.75,2.44507647,31.78660516,30,32.19704597,6,10.01943889,11.15913774,11.15896547,28.73802395,5.535849936,11.67917303,11.65170682,52.64334465,360,11.15913774
A51047,1504.85615,8.25,37.5,18.75,2.728013829,32.62775963,30,36.15984242,6,9.611312556,14.01227999,14.01230189,32.19470719,6.467893002,9.125023175,9.112631565,61.45915876,360,14.01227999
A51049,6389.205415,8.25,37.5,18.75,2.657536836,33.0974304,30,53.39267574,6,14.22241651,13.52370935,13.5236924,47.31790845,7.241989217,9.512698973,9.514643432,68.75489901,360,13.52370935
A51053,1785.809547,8.25,37.5,18.75,2.812642772,31.96840067,30,26.39246209,6,12.55345709,15.20844638,15.20840802,23.47383285,7.029458639,9.698848644,9.696411543,66.68370395,360,15.20844638
A51057,1151.779852,8.25,37.5,18.75,2.959764518,38.74983663,30,26.73747035,6,10.41318193,15.42198524,15.42196613,23.83478742,6.480059817,9.559905858,9.558433089,61.50897091,360,15.42198524
A51059,3424.50232,8.25,37.5,18.75,3.621329466,35.42751503,30,42.40593964,6,11.71742097,18.71258473,18.71258747,37.83182445,7.256225538,9.368696198,9.358356523,68.97231096,360,18.71258473
A51061,1869.860779,8.25,37.5,18.75,2.89658596,24.62512747,30,34.61557159,6,9.605921201,14.4508802,14.45088246,30.85295749,6.151562291,9.749831973,9.743805884,58.4756138,360,14.4508802
A51065,507.1174411,8.25,37.5,18.75,2.630405605,33.42025997,30,33.34671402,6,10.28082973,13.52684874,13.52686983,29.6772097,5.86546986,8.079900252,8.097394105,55.75551622,360,13.52684874
A51069,625.4486722,8.25,37.5,18.75,2.798575296,34.7506801,30,31.66563812,6,10.30007289,12.71769897,12.71766064,28.25604608,5.833345956,8.006890291,8.005621114,55.45957241,360,12.71769897
