 ,alf,hom,hwm,hyw,lwm,nal,nhi,nho,nhy,nlo,npa,pas,trp,bar,ext,for,hvf,hyo,puh,pul,urs,afo,imh,iml,wat,css
A51057,20.669,18.137,14.866,18.928,14.866,0,15.664,17.978,19.817,15.664,20.778,13.179,19.817,0,0,0,0,15.836,32.663,32.663,15.812,0,0,0,0,0
A51059,17.477,22.707,13.808,16.01,13.808,0,14.517,21.402,15.156,14.517,19.362,11.379,18.636,0,0,0,0,15.744,27.261,27.261,15.812,0,0,0,0,0
A51061,22.689,27.051,14.484,18.403,14.484,0,15.799,27.372,18.723,15.799,20.597,7.508,20.183,0,0,0,0,19.947,31.667,31.667,15.812,0,0,0,0,0
A51065,19.127,18.9,11.437,17.637,11.437,0,9.815,19.113,17.782,9.815,18.667,6.578,18.055,0,0,0,0,18.991,24.666,24.666,15.812,0,0,0,0,0
A51069,23.783,29.256,12.417,16.228,12.417,0,13.539,29.162,17.226,13.539,19.207,6.048,19.027,0,0,0,0,18.263,30.961,30.961,15.812,0,0,0,0,0
A51071,17.223,18.773,15.353,17.32,15.353,0,15.595,18.536,18.811,15.595,22.265,3.931,19.48,0,0,0,0,18.633,31.046,31.046,15.812,0,0,0,0,0
A51073,21.948,21.842,13.015,16.194,13.015,0,13.457,23.954,17.008,13.457,18.329,9.613,17.653,0,0,0,0,17.193,30.363,30.363,15.812,0,0,0,0,0
A51075,18.326,20.498,12.901,18.579,12.901,0,13.968,20.615,19.178,13.968,17.936,10.140,18.149,0,0,0,0,17.109,32.265,32.265,15.812,0,0,0,0,0
A51079,18.428,21.846,15.305,18.925,15.305,0,17.789,21.993,20.918,17.789,18.591,9.990,17.82,0,0,0,0,18.353,29.395,29.395,0,0,0,0,0,0
A51085,23.396,16.17,14.026,19.394,14.026,0,15.387,15.997,20.245,15.387,18.247,10.408,18.139,0,0,0,0,18.227,29.317,29.317,15.812,0,0,0,0,0
A51087,23.152,17.37,12.9,16.162,12.9,0,13.712,17.466,16.699,13.712,16.97,7.458,17.333,0,0,0,0,17.25,29.616,29.616,15.812,0,0,0,0,0
A51091,20.575,18.779,22.178,18.174,21.649,0,23.044,19.102,19.129,22.034,20.245,2.761,19.826,0,0,0,0,26.511,33.971,33.971,15.812,0,0,0,0,0
A51093,24.729,11.347,10.675,16.564,10.675,0,10.772,4.204,18.121,10.772,19.109,22.912,18.689,0,0,0,0,15.867,31.936,31.936,15.812,0,0,0,0,0
A51095,20.05,24.284,13.563,17.294,13.563,0,12.752,23.863,16.486,12.752,17.625,10.840,16.953,0,0,0,0,16.987,25.835,25.835,15.812,0,0,0,0,0
A51097,18.241,24.839,13.395,15.502,13.395,0,13.935,39.911,16.148,13.935,19.109,7.584,17.891,0,0,0,0,15.878,33.821,33.821,15.812,0,0,0,0,0
A51099,19.089,26.429,13.706,15.95,13.706,0,14.804,27.51,15.409,14.804,20.522,11.401,20.641,0,0,0,0,17.024,32.191,32.191,15.812,0,0,0,0,0
A51101,23.249,20.341,14.437,17.094,14.437,0,15.094,18.997,17.269,15.094,20.669,11.487,20.158,0,0,0,0,16.329,31.107,31.107,15.812,0,0,0,0,0
A51103,20.366,21.16,14.631,21.402,14.631,0,16.146,23.627,22.496,16.146,18.415,5.949,18.415,0,0,0,0,15.826,30.38,30.38,0,0,0,0,0,0
A51107,21.872,22.958,12.15,18.044,12.15,0,12.975,20.099,17.699,12.975,18.612,7.643,18.249,0,0,0,0,18.405,32.751,32.751,15.812,0,0,0,0,0
A51109,21.263,16.853,12.747,18.642,12.747,0,14.422,16.823,19.12,14.422,18.38,11.583,17.908,0,0,0,0,18.013,31.949,31.949,15.812,0,0,0,0,0
A51113,25.872,25.151,15.819,20.703,15.819,0,16.867,25.918,22.098,16.867,20.112,11.395,19.468,0,0,0,0,19.71,33.93,33.93,15.812,0,0,0,0,0
A51115,21.375,17.19,10.776,16.687,10.776,0,11.061,14.217,17.879,11.061,18.79,8.052,18.204,0,0,0,0,15.904,29.035,29.035,0,0,0,0,0,0
A51119,17.683,20.046,13.925,16.066,13.925,0,14.63,21.775,17.985,14.63,17.345,9.866,17.345,0,0,0,0,16.312,29.548,29.548,15.812,0,0,0,0,0
A51121,21.896,17.476,16.911,18.524,16.911,0,17.528,17.866,19.725,17.528,19.948,6.146,19.942,0,0,0,0,20.152,32.299,32.299,15.812,0,0,0,0,0
A51125,17.204,26.628,11.077,17.732,11.077,0,15.389,27.458,18.112,15.389,17.936,5.276,18.022,0,0,0,0,18.007,32.177,32.177,15.812,0,0,0,0,0
A51127,21.88,18.978,13.118,18.808,13.118,0,13.728,21.009,18.649,13.728,16.872,4.801,17.132,0,0,0,0,15.851,31.086,31.086,0,0,0,0,0,0
A51131,22.469,9.775,11.854,15.798,11.854,0,12.712,8.981,15.49,12.712,19.052,3.802,18.07,0,0,0,0,15.845,33.437,33.437,15.812,0,0,0,0,0
A51133,21.238,17.687,15.592,20.143,15.592,0,16.845,14.173,18.072,16.845,19.715,5.609,18.238,0,0,0,0,15.896,30.611,30.611,15.812,0,0,0,0,0
A51135,19.698,8.377,13.121,18.274,13.121,0,13.701,8.242,20.175,13.701,17.088,12.136,17.368,0,0,0,0,17.43,32.568,32.568,15.812,0,0,0,0,0
A51137,21.869,23.358,15.222,17.346,15.222,0,16.106,22.074,17.653,16.106,19.292,10.150,19.064,0,0,0,0,20.391,29.272,29.272,15.812,0,0,0,0,0
A51139,22.108,20.841,14.96,20.87,14.96,0,16.293,18.966,21.78,16.293,19.683,22.145,19.174,0,0,0,0,23.287,33.424,33.424,15.812,0,0,0,0,0
A51145,23.272,16.542,13.28,17.379,13.28,0,14.073,13.833,18.267,14.073,18.423,10.939,18.566,0,0,0,0,16.624,24.571,24.571,15.812,0,0,0,0,0
A51147,17.382,10.263,12.431,17.94,12.431,0,13.475,9.851,19.743,13.475,17.864,8.715,17.156,0,0,0,0,18.035,32.574,32.574,15.812,0,0,0,0,0
A51149,16.805,19.654,13.26,15.392,13.26,0,13.969,23.756,16.544,13.969,17.087,12.897,17.911,0,0,0,0,16.194,29.816,29.816,15.812,0,0,0,0,0
A51153,17.305,26.245,12.165,16.236,12.165,0,12.481,28.597,17.383,12.481,19.027,10.602,18.091,0,0,0,0,19.676,25.159,25.159,15.812,0,0,0,0,0
A51157,20.279,27.095,15.46,18.505,15.46,0,15.049,26.207,19.426,15.049,19.322,5.058,19.277,0,0,0,0,20.373,33.971,33.971,15.812,0,0,0,0,0
A51159,20.113,18.358,14.529,18.353,14.19,0,15.203,17.355,18.079,14.862,18.571,8.235,17.544,0,0,0,0,15.85,33.763,33.763,0,0,0,0,0,0
A51161,19.718,25.265,14.018,17.274,14.018,0,13.788,0,18.427,13.788,16.871,11.104,18.427,0,0,0,0,18.715,27.482,27.482,15.812,0,0,0,0,0
A51163,22.439,18.311,15.734,18.08,15.734,0,15.602,17.179,18.927,15.602,20.622,6.126,20.242,0,0,0,0,21.895,33.858,33.858,15.812,0,0,0,0,0
A51165,26.597,27.039,18.681,20.973,18.681,0,19.776,26.624,21.921,19.776,19.581,25.511,19.249,0,0,0,0,22.074,33.363,33.363,15.812,0,0,0,0,0
A51171,24.036,27.903,15.164,18.487,15.164,0,16.602,27.709,19.294,16.602,19.657,12.577,19.263,0,0,0,0,20.061,32.901,32.901,15.812,0,0,0,0,0
A51177,20.697,19.751,12.666,17.971,12.666,0,13.798,18.588,18.432,13.798,18.186,10.500,17.798,0,0,0,0,18.107,27.89,27.89,15.812,0,0,0,0,0
A51179,18.806,20.021,13.044,16.009,13.044,0,12.875,22.385,15.702,12.875,16.902,9.678,16.721,0,0,0,0,18.58,26.99,26.99,0,0,0,0,0,0
A51181,20.696,10.995,11.588,16.551,11.588,0,11.54,3.266,18.482,11.54,20.112,212.989,20.346,0,0,0,0,15.903,33.971,33.971,15.812,0,0,0,0,0
A51187,20.665,25.405,13.551,16.285,13.551,0,14.12,24.039,16.482,14.12,18.655,5.381,18.609,0,0,0,0,24.434,29.867,29.867,15.812,0,0,0,0,0
A51193,24.549,20.691,13.971,22.125,13.971,0,14.551,21.646,21.667,14.551,21.421,10.371,20.674,0,0,0,0,16.216,31.552,31.552,15.812,0,0,0,0,0
A51199,21.395,17.362,9.869,16.867,9.869,0,9.808,22.156,0,9.808,18.597,24.800,16.68,0,0,0,0,16.062,26.263,26.263,15.812,0,0,0,0,0
A51510,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,32.194,32.194,0,0,0,0,0,0
A51530,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,28.556,28.556,0,0,0,0,0,0
A51540,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,28.654,28.654,0,0,0,0,0,0
A51550,26.404,22.416,15.62,17.486,15.62,0,16.006,31.74,18.9,16.006,15.045,16.201,17.191,0,0,0,0,17.487,31.307,31.307,15.812,0,0,0,0,0
A51570,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,31.294,31.294,0,0,0,0,0,0
A51580,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,24.102,24.102,0,0,0,0,0,0
A51600,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,30.981,30.981,0,0,0,0,0,0
A51610,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,28.508,28.508,0,0,0,0,0,0
A51630,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,30.658,30.658,0,0,0,0,0,0
A51650,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,32.686,32.686,0,0,0,0,0,0
A51660,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,32.622,32.622,0,0,0,0,0,0
A51670,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,30.55,30.55,0,0,0,0,0,0
A51678,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,32.901,32.901,0,0,0,0,0,0
A51680,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,25.563,25.563,0,0,0,0,0,0
A51683,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,33.104,33.104,0,0,0,0,0,0
A51685,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,32.286,32.286,0,0,0,0,0,0
A51700,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,30.971,30.971,0,0,0,0,0,0
A51710,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,33.675,33.675,0,0,0,0,0,0
A51730,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,29.894,29.894,0,0,0,0,0,0
A51735,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,31.528,31.528,0,0,0,0,0,0
A51740,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,32.201,32.201,0,0,0,0,0,0
A51760,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,29.548,29.548,0,0,0,0,0,0
A51790,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,29.989,29.989,0,0,0,0,0,0
A51800,20.283,9.557,10.959,18.544,10.959,0,10.831,5.683,17.742,10.831,20.407,9.581,19.761,0,0,0,0,15.682,31.603,31.603,15.812,0,0,0,0,0
A51810,20.447,18.357,15.746,16.03,15.746,0,16.882,19.275,0,16.882,15.543,17.742,18.582,0,0,0,0,16.976,32.089,32.089,15.812,0,0,0,0,0
A51820,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,32.731,32.731,0,0,0,0,0,0
A51830,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,29.68,29.68,0,0,0,0,0,0
A51840,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,32.571,32.571,0,0,0,0,0,0
A54003,23.069,29.333,12.857,15.997,12.857,23.069,12.857,29.333,15.997,12.857,0,5.755,18.815,0,0,0,0,17.039,29.918,29.918,15.812,0,0,0,0,0
A54023,19.68,20.535,17.182,17.44,17.182,19.68,17.182,20.535,17.44,17.182,0,8.369,21.065,0,0,0,0,21.554,33.828,33.828,15.812,0,0,0,0,0
A54027,18.044,28.619,14.299,17.886,14.299,18.044,14.299,28.619,17.886,14.299,0,4.459,19.677,0,0,0,0,19.94,33.801,33.801,15.812,0,0,0,0,0
A54031,24.913,24.831,18.694,20.588,18.694,24.913,18.694,24.831,20.588,18.694,0,18.207,20.297,0,0,0,0,22.675,33.971,33.971,15.812,0,0,0,0,0
A54037,25.7,28.869,15.577,17.769,15.577,25.7,15.577,28.869,17.769,15.577,0,6.965,19.425,0,0,0,0,17.683,29.931,29.931,15.812,0,0,0,0,0
A54057,17.849,30.638,13.406,14.888,13.406,17.849,13.406,30.638,14.888,13.406,0,3.850,19.42,0,0,0,0,20.804,31.576,31.576,15.812,0,0,0,0,0
A54063,20.619,19.891,15.805,16.955,15.805,0,0,0,0,0,0,5.419,21.462,0,0,0,0,19.703,33.492,33.492,15.812,0,0,0,0,0
A54065,16.757,28.423,10.611,15.394,10.611,16.757,10.611,28.423,15.394,10.611,0,4.100,18.077,0,0,0,0,17.836,32.102,32.102,15.812,0,0,0,0,0
A54071,21.86,20.299,17.425,18.211,17.425,21.86,17.425,20.299,18.211,17.425,0,12.349,20.927,0,0,0,0,21.051,33.913,33.913,15.812,0,0,0,0,0
A54077,19.659,25.817,16.784,17.997,17.02,0,0,0,0,0,0,6.037,19.415,0,0,0,0,20.077,32.809,32.809,15.812,0,0,0,0,0
A54093,17.027,21.532,15.52,15.256,15.549,0,0,0,0,0,0,3.520,20.702,0,0,0,0,20.225,32.208,32.208,0,0,0,0,0,0
B24001,20.223,22.131,13.696,16.534,13.696,18.681,15.001,21.183,17.198,15.001,18.089,7.183,16.204,0,0,0,0,17.224,28.264,28.264,15.812,0,0,0,0,0
B24021,27.737,24.673,14.537,21.265,14.537,25.708,14.306,24.277,21.345,14.306,18.597,30.766,18.044,0,0,0,0,17.523,32.88,32.88,15.812,0,0,0,0,0
B42001,24.137,29.018,11.619,19.858,11.619,24.137,11.619,29.018,19.858,11.619,0,21.471,18.772,0,0,0,0,18.042,33.125,33.125,15.812,0,0,0,0,0
B42009,24.026,26.65,15.769,17.433,15.769,24.026,15.769,26.65,17.433,15.769,0,17.476,18.354,0,0,0,0,17.154,33.325,33.325,15.812,0,0,0,0,0
B42015,20.736,23.729,15.722,17.816,15.722,20.736,15.722,23.729,17.816,15.722,0,18.566,18.326,0,0,0,0,17.963,33.865,33.865,15.812,0,0,0,0,0
B42027,24.338,16.678,14.77,18.077,14.77,24.338,14.77,16.678,18.077,14.77,0,21.235,17.616,0,0,0,0,16.936,32.68,32.68,15.812,0,0,0,0,0
B42035,24.383,18.942,15.515,18.089,15.515,24.383,15.515,18.942,18.089,15.515,0,32.690,17.347,0,0,0,0,16.692,33.104,33.104,15.812,0,0,0,0,0
B42041,25.216,27.605,13.466,18.011,13.466,25.216,13.466,27.605,18.011,13.466,0,35.255,17.109,0,0,0,0,17.082,33.366,33.366,15.766,0,0,0,0,0
B42043,24.89,24.148,12.124,20.142,12.124,24.89,12.124,24.148,20.142,12.124,0,34.067,17.256,0,0,0,0,16.386,32.357,32.357,15.812,0,0,0,0,0
B42055,25.216,28.131,14.707,20.023,14.707,25.216,14.707,28.131,20.023,14.707,0,45.835,17.622,0,0,0,0,16.85,33.308,33.308,15.812,0,0,0,0,0
B42079,20.522,23.642,12.079,16.324,12.079,20.522,12.079,23.642,16.324,12.079,0,15.255,17.672,0,0,0,0,16.107,30.129,30.129,15.464,0,0,0,0,0
B42081,22.284,24.305,13.046,16.828,13.046,22.284,13.046,24.305,16.828,13.046,0,18.755,18.351,0,0,0,0,16.48,32.979,32.979,15.812,0,0,0,0,0
B42119,25.118,19.76,14.022,18.006,14.022,25.118,14.022,19.76,18.006,14.022,0,47.863,17.757,0,0,0,0,17.033,33.896,33.896,15.812,0,0,0,0,0
B42131,21.123,24.202,15.619,17.68,15.619,21.123,15.619,24.202,17.68,15.619,0,12.653,18.841,0,0,0,0,17.9,32.826,32.826,15.812,0,0,0,0,0
B51003,19.848,27.654,13.117,17.303,13.117,0,13.414,27.619,17.466,13.414,18.993,5.952,19.082,0,0,0,0,20.493,30.003,30.003,15.812,0,0,0,0,0
B51009,17.217,23.872,16.38,17.493,16.38,0,17.782,24.012,18.375,17.782,19.455,5.572,19.053,0,0,0,0,20.124,28.81,28.81,15.812,0,0,0,0,0
B51015,23.437,19.132,16.119,20.114,16.119,0,16.949,18.181,20.805,16.949,21.266,10.848,20.928,0,0,0,0,20.609,32.931,32.931,15.812,0,0,0,0,0
B51017,18.448,19.185,16.648,16.27,16.648,0,18.018,18.505,16.026,18.018,19.464,3.592,19.052,0,0,0,0,24.944,33.74,33.74,15.812,0,0,0,0,0
B51019,18.274,22.257,13.3,17.617,13.3,0,15.216,23.366,18.649,15.216,18.897,7.502,18.65,0,0,0,0,20.801,28.478,28.478,15.812,0,0,0,0,0
B51023,22.591,25.543,14.98,16.218,14.98,0,15.114,24.672,16.729,15.114,19.957,6.129,19.624,0,0,0,0,18.843,31.273,31.273,15.812,0,0,0,0,0
B51061,22.689,27.051,14.484,18.403,14.484,0,15.799,27.372,18.723,15.799,20.597,7.508,20.183,0,0,0,0,19.947,31.667,31.667,15.812,0,0,0,0,0
B51079,18.428,21.846,15.305,18.925,15.305,0,17.789,21.993,20.918,17.789,18.591,9.990,17.82,0,0,0,0,18.353,29.395,29.395,0,0,0,0,0,0
B51091,20.575,18.779,22.178,18.174,21.649,0,23.044,19.102,19.129,22.034,20.245,2.761,19.826,0,0,0,0,26.511,33.971,33.971,15.812,0,0,0,0,0
B51113,25.872,25.151,15.819,20.703,15.819,0,16.867,25.918,22.098,16.867,20.112,11.395,19.468,0,0,0,0,19.71,33.93,33.93,15.812,0,0,0,0,0
B51125,17.204,26.628,11.077,17.732,11.077,0,15.389,27.458,18.112,15.389,17.936,5.276,18.022,0,0,0,0,18.007,32.177,32.177,15.812,0,0,0,0,0
B51139,22.108,20.841,14.96,20.87,14.96,0,16.293,18.966,21.78,16.293,19.683,22.145,19.174,0,0,0,0,23.287,33.424,33.424,15.812,0,0,0,0,0
B51157,20.279,27.095,15.46,18.505,15.46,0,15.049,26.207,19.426,15.049,19.322,5.058,19.277,0,0,0,0,20.373,33.971,33.971,15.812,0,0,0,0,0
B51163,22.439,18.311,15.734,18.08,15.734,0,15.602,17.179,18.927,15.602,20.622,6.126,20.242,0,0,0,0,21.895,33.858,33.858,15.812,0,0,0,0,0
B51165,26.597,27.039,18.681,20.973,18.681,0,19.776,26.624,21.921,19.776,19.581,25.511,19.249,0,0,0,0,22.074,33.363,33.363,15.812,0,0,0,0,0
B51171,24.036,27.903,15.164,18.487,15.164,0,16.602,27.709,19.294,16.602,19.657,12.577,19.263,0,0,0,0,20.061,32.901,32.901,15.812,0,0,0,0,0
B51187,20.665,25.405,13.551,16.285,13.551,0,14.12,24.039,16.482,14.12,18.655,5.381,18.609,0,0,0,0,24.434,29.867,29.867,15.812,0,0,0,0,0
B54023,19.68,20.535,17.182,17.44,17.182,19.68,17.182,20.535,17.44,17.182,0,8.369,21.065,0,0,0,0,21.554,33.828,33.828,15.812,0,0,0,0,0
B54031,24.913,24.831,18.694,20.588,18.694,24.913,18.694,24.831,20.588,18.694,0,18.207,20.297,0,0,0,0,22.675,33.971,33.971,15.812,0,0,0,0,0
B54057,17.849,30.638,13.406,14.888,13.406,17.849,13.406,30.638,14.888,13.406,0,3.850,19.42,0,0,0,0,20.804,31.576,31.576,15.812,0,0,0,0,0
B54071,21.86,20.299,17.425,18.211,17.425,21.86,17.425,20.299,18.211,17.425,0,12.349,20.927,0,0,0,0,21.051,33.913,33.913,15.812,0,0,0,0,0
C42009,24.026,26.65,15.769,17.433,15.769,24.026,15.769,26.65,17.433,15.769,0,17.476,18.354,0,0,0,0,17.154,33.325,33.325,15.812,0,0,0,0,0
C51015,23.437,19.132,16.119,20.114,16.119,0,16.949,18.181,20.805,16.949,21.266,10.848,20.928,0,0,0,0,20.609,32.931,32.931,15.812,0,0,0,0,0
C51165,26.597,27.039,18.681,20.973,18.681,0,19.776,26.624,21.921,19.776,19.581,25.511,19.249,0,0,0,0,22.074,33.363,33.363,15.812,0,0,0,0,0
end,,,,,,,,,,,,,,,,,,,,,,,,,,
