TABLE->,IWT-PARM1,IWT-PARM1,IWT-PARM2,IWT-PARM2,IWT-PARM2
VARS->,WTFV,CSNO,ELEV,AWTF,BWTF
A10001,0,0,38.55,35,0.65
A10003,0,0,139.04,35,0.65
A10005,0,0,24.67,35,0.65
A11001,0,0,181,35,0.65
A24001,0,0,812.98,35,0.65
A24003,0,0,80.27,35,0.65
A24005,0,0,371.02,35,0.65
A24009,0,0,92.18,35,0.65
A24011,0,0,42.42,35,0.65
A24013,0,0,703.31,35,0.65
A24015,0,0,202.34,35,0.65
A24017,0,0,154.53,35,0.65
A24019,0,0,17.17,35,0.65
A24021,0,0,456.1,35,0.65
A24023,0,0,2472.2,35,0.65
A24025,0,0,317.63,35,0.65
A24027,0,0,427.04,35,0.65
A24029,0,0,40.94,35,0.65
A24031,0,0,396.89,35,0.65
A24033,0,0,166.98,35,0.65
A24035,0,0,24.01,35,0.65
A24037,0,0,80.8,35,0.65
A24039,0,0,9.32,35,0.65
A24041,0,0,25.68,35,0.65
A24043,0,0,584.63,35,0.65
A24045,0,0,35.47,35,0.65
A24047,0,0,18.99,35,0.65
A24510,0,0,265.33,35,0.65
A36003,0,0,1606.59,35,0.65
A36007,0,0,1029.91,35,0.65
A36015,0,0,956.65,35,0.65
A36017,0,0,1124.19,35,0.65
A36023,0,0,1208.34,35,0.65
A36025,0,0,1349.28,35,0.65
A36043,0,0,749.47,35,0.65
A36051,0,0,847.32,35,0.65
A36053,0,0,728.85,35,0.65
A36065,0,0,632.39,35,0.65
A36067,0,0,550.24,35,0.65
A36069,0,0,714.87,35,0.65
A36077,0,0,1270.36,35,0.65
A36095,0,0,1041.88,35,0.65
A36097,0,0,1015.96,35,0.65
A36101,0,0,1252.29,35,0.65
A36107,0,0,959.7,35,0.65
A36109,0,0,947.34,35,0.65
A36123,0,0,885.62,35,0.65
A37001,0,0,726.90376,35,0.65
A37005,0,0,3231.59048,35,0.65
A37009,0,0,3392.0448,35,0.65
A37033,0,0,577.55552,35,0.65
A37067,0,0,854.27272,35,0.65
A37077,0,0,439.23136,35,0.65
A37081,0,0,877.21304,35,0.65
A37131,0,0,150.068528,35,0.65
A37135,0,0,690.13168,35,0.65
A37145,0,0,537.3296,35,0.65
A37157,0,0,714.86616,35,0.65
A37169,0,0,959.63944,35,0.65
A37171,0,0,1429.16488,35,0.65
A37181,0,0,382.21184,35,0.65
A37185,0,0,343.41928,35,0.65
A37189,0,0,3587.4344,35,0.65
A42001,0,0,568,35,0.65
A42009,0,0,1207.98,35,0.65
A42011,0,0,443,35,0.65
A42013,0,0,1186.93,35,0.65
A42015,0,0,1033.49,35,0.65
A42021,0,0,1798.12,35,0.65
A42023,0,0,1074.98,35,0.65
A42025,0,0,1180.67,35,0.65
A42027,0,0,1105.77,35,0.65
A42029,0,0,411.74,35,0.65
A42033,0,0,1504.15,35,0.65
A42035,0,0,1044.52,35,0.65
A42037,0,0,702.37,35,0.65
A42041,0,0,483.43,35,0.65
A42043,0,0,579.43,35,0.65
A42047,0,0,1734.46,35,0.65
A42055,0,0,733.4,35,0.65
A42057,0,0,968.35,35,0.65
A42061,0,0,859.14,35,0.65
A42063,0,0,1287.48,35,0.65
A42065,0,0,1468.02,35,0.65
A42067,0,0,606.69,35,0.65
A42069,0,0,1213.17,35,0.65
A42071,0,0,428.23,35,0.65
A42075,0,0,524.64,35,0.65
A42079,0,0,1051.19,35,0.65
A42081,0,0,1174.71,35,0.65
A42083,0,0,1691.46,35,0.65
A42087,0,0,684.92,35,0.65
A42093,0,0,624.01,35,0.65
A42097,0,0,675.17,35,0.65
A42099,0,0,561.02,35,0.65
A42105,0,0,1723.33,35,0.65
A42107,0,0,921.71,35,0.65
A42109,0,0,599.29,35,0.65
A42111,0,0,2039.79,35,0.65
A42113,0,0,1607.03,35,0.65
A42115,0,0,1310.95,35,0.65
A42117,0,0,1398.76,35,0.65
A42119,0,0,760.14,35,0.65
A42127,0,0,1457.18,35,0.65
A42131,0,0,893.95,35,0.65
A42133,0,0,586.47,35,0.65
A47091,0,0,3120.13608,35,0.65
A47163,0,0,2972.61808,35,0.65
A51001,0,0,21.36,35,0.65
A51003,0,0,539.81,35,0.65
A51005,0,0,1316.25,35,0.65
A51007,0,0,355.96,35,0.65
A51009,0,0,786.79,35,0.65
A51011,0,0,773.01,35,0.65
A51013,0,0,231.9,35,0.65
A51015,0,0,1435.59,35,0.65
A51017,0,0,2388.2,35,0.65
A51019,0,0,1126.07,35,0.65
A51021,0,0,2358.93,35,0.65
A51023,0,0,1230.73,35,0.65
A51025,0,0,311.81,35,0.65
A51027,0,0,1904.38768,35,0.65
A51029,0,0,510.11,35,0.65
A51031,0,0,812.41,35,0.65
A51033,0,0,204.43,35,0.65
A51035,0,0,2542.50184,35,0.65
A51036,0,0,70.47,35,0.65
A51037,0,0,548.37,35,0.65
A51041,0,0,216.66,35,0.65
A51043,0,0,586.88,35,0.65
A51045,0,0,1657.53,35,0.65
A51047,0,0,424.31,35,0.65
A51049,0,0,398.49,35,0.65
A51051,0,0,1942.2028,35,0.65
A51053,0,0,202.8,35,0.65
A51057,0,0,74.69,35,0.65
A51059,0,0,294.62,35,0.65
A51061,0,0,463.29,35,0.65
A51063,0,0,2552.75,35,0.65
A51065,0,0,384.5,35,0.65
A51067,0,0,1067.23,35,0.65
A51069,0,0,763.3,35,0.65
A51071,0,0,2035.58,35,0.65
A51073,0,0,41.17,35,0.65
A51075,0,0,286.04,35,0.65
A51077,0,0,2626.99136,35,0.65
A51079,0,0,591,35,0.65
A51081,0,0,155.97,35,0.65
A51083,0,0,490.11,35,0.65
A51085,0,0,181.2,35,0.65
A51087,0,0,197.41,35,0.65
A51089,0,0,928.73,35,0.65
A51091,0,0,2777.49,35,0.65
A51093,0,0,38.38,35,0.65
A51095,0,0,72.05,35,0.65
A51097,0,0,96.99,35,0.65
A51099,0,0,93.66,35,0.65
A51101,0,0,87.26,35,0.65
A51103,0,0,37.24,35,0.65
A51105,0,0,1667.41752,35,0.65
A51107,0,0,357.95,35,0.65
A51109,0,0,403.93,35,0.65
A51111,0,0,505.2,35,0.65
A51113,0,0,537.9,35,0.65
A51115,0,0,10.54,35,0.65
A51117,0,0,413.81,35,0.65
A51119,0,0,39.41,35,0.65
A51121,0,0,2026.34,35,0.65
A51125,0,0,701.2,35,0.65
A51127,0,0,85.6,35,0.65
A51131,0,0,23.72,35,0.65
A51133,0,0,29.43,35,0.65
A51135,0,0,446.11,35,0.65
A51137,0,0,416.81,35,0.65
A51139,0,0,931.38,35,0.65
A51141,0,0,1275.37,35,0.65
A51143,0,0,735.54,35,0.65
A51145,0,0,324.56,35,0.65
A51147,0,0,452.44,35,0.65
A51149,0,0,120.51,35,0.65
A51153,0,0,250.73,35,0.65
A51155,0,0,2018.86,35,0.65
A51157,0,0,622.22,35,0.65
A51159,0,0,111.83,35,0.65
A51161,0,0,1197.6,35,0.65
A51163,0,0,1211.69,35,0.65
A51165,0,0,1227.66,35,0.65
A51167,0,0,1688.28816,35,0.65
A51169,0,0,1089.64224,35,0.65
A51171,0,0,865.83,35,0.65
A51173,0,0,62.956648,35,0.65
A51175,0,0,65.32,35,0.65
A51177,0,0,268.92,35,0.65
A51179,0,0,191.31,35,0.65
A51181,0,0,90.1,35,0.65
A51183,0,0,108.3,35,0.65
A51185,0,0,658.95528,35,0.65
A51187,0,0,617.85,35,0.65
A51191,0,0,76.017936,35,0.65
A51193,0,0,40.84,35,0.65
A51195,0,0,2438.47992,35,0.65
A51197,0,0,2316.85,35,0.65
A51199,0,0,37.02,35,0.65
A51510,0,0,133.7,35,0.65
A51515,0,0,946.66,35,0.65
A51520,0,0,977.44,35,0.65
A51530,0,0,932.41,35,0.65
A51540,0,0,462.13,35,0.65
A51550,0,0,13.56,35,0.65
A51570,0,0,57.55,35,0.65
A51580,0,0,1343.19,35,0.65
A51590,0,0,558.64,35,0.65
A51595,0,0,118.37,35,0.65
A51600,0,0,392.61,35,0.65
A51610,0,0,330.42,35,0.65
A51620,0,0,146.543512,35,0.65
A51630,0,0,129.48,35,0.65
A51640,0,0,7.8097784,35,0.65
A51650,0,0,9.7,35,0.65
A51660,0,0,1388.94,35,0.65
A51670,0,0,64.41,35,0.65
A51678,0,0,1065.95,35,0.65
A51680,0,0,753.32,35,0.65
A51683,0,0,253.04,35,0.65
A51685,0,0,253.15,35,0.65
A51690,0,0,890.82,35,0.65
A51700,0,0,30.23,35,0.65
A51710,0,0,10.6,35,0.65
A51720,0,0,124.240496,35,0.65
A51730,0,0,118.22,35,0.65
A51735,0,0,5.34,35,0.65
A51740,0,0,11.01,35,0.65
A51750,0,0,1890.45,35,0.65
A51760,0,0,186.69,35,0.65
A51770,0,0,1067.46,35,0.65
A51775,0,0,1112.82,35,0.65
A51790,0,0,1545.63,35,0.65
A51800,0,0,33.65,35,0.65
A51810,0,0,12.43,35,0.65
A51820,0,0,1347.1,35,0.65
A51830,0,0,86.78,35,0.65
A51840,0,0,787.2,35,0.65
A54003,0,0,542.7,35,0.65
A54023,0,0,2534.54,35,0.65
A54027,0,0,983.6,35,0.65
A54031,0,0,1647.16,35,0.65
A54037,0,0,524.56,35,0.65
A54057,0,0,1057.4,35,0.65
A54063,0,0,2029.61,35,0.65
A54065,0,0,734.41,35,0.65
A54071,0,0,1946.53,35,0.65
A54077,0,0,1959.73,35,0.65
A54093,0,0,2574.43,35,0.65
B24001,0,0,1267.48,35,0.65
B24021,0,0,629.02,35,0.65
B37005,0,0,629.02,35,0.65
B37009,0,0,1982.25488,35,0.65
B42001,0,0,835,35,0.65
B42009,0,0,1292.39,35,0.65
B42015,0,0,1469.06,35,0.65
B42027,0,0,1615.34,35,0.65
B42035,0,0,712.95,35,0.65
B42041,0,0,677.54,35,0.65
B42043,0,0,460.04,35,0.65
B42055,0,0,745.7,35,0.65
B42079,0,0,1346.07,35,0.65
B42081,0,0,658.33,35,0.65
B42119,0,0,540.15,35,0.65
B42131,0,0,1475.11,35,0.65
B51003,0,0,1023.66,35,0.65
B51009,0,0,1873.04,35,0.65
B51015,0,0,1574.5,35,0.65
B51017,0,0,888.55,35,0.65
B51019,0,0,1344.01,35,0.65
B51023,0,0,2933.93704,35,0.65
B51035,0,0,3519.768,35,0.65
B51061,0,0,838.61,35,0.65
B51067,0,0,1519.93,35,0.65
B51071,0,0,1772.6,35,0.65
B51077,0,0,1819.1044,35,0.65
B51079,0,0,916.57,35,0.65
B51091,0,0,2194.69,35,0.65
B51105,0,0,2923.29672,35,0.65
B51113,0,0,849.59,35,0.65
B51125,0,0,2532.36,35,0.65
B51139,0,0,1288.42,35,0.65
B51141,0,0,2732.05,35,0.65
B51157,0,0,1039.59,35,0.65
B51161,0,0,1239.41,35,0.65
B51163,0,0,1128.65,35,0.65
B51165,0,0,1486.86,35,0.65
B51167,0,0,1905.88992,35,0.65
B51169,0,0,1408.21224,35,0.65
B51171,0,0,1351.96,35,0.65
B51173,0,0,2439.5,35,0.65
B51185,0,0,1969.84336,35,0.65
B51187,0,0,1155.93,35,0.65
B51191,0,0,2287.08168,35,0.65
B51195,0,0,2120.6512,35,0.65
B51197,0,0,2505.30992,35,0.65
B54023,0,0,1059.43,35,0.65
B54031,0,0,980.31,35,0.65
B54057,0,0,822.54,35,0.65
B54071,0,0,2316.61,35,0.65
C42009,0,0,1160.95,35,0.65
C51015,0,0,1699.22,35,0.65
C51071,0,0,1990.28,35,0.65
C51165,0,0,1342.28,35,0.65
end,,,,,
