landseg,SORGN,UORGN,LROGN,AORGN
A10001,     0.000,    25.134,    33.547,    10.397
A10003,     0.000,    56.192,    10.454,     7.252
A10005,     0.000,     6.186,    46.932,    11.832
A11001,     0.000,    17.079,    39.730,     7.465
A24001,     0.000,    66.575,    16.708,     9.660
A24003,     0.000,    54.528,     6.802,     8.659
A24005,     0.000,    33.561,    32.534,    11.768
A24009,     0.000,    32.184,    15.234,    10.291
A24011,     0.000,    64.432,    13.535,     8.102
A24013,     0.000,    47.701,    21.701,     9.050
A24015,     0.000,    48.477,    26.783,    10.775
A24017,     0.000,    39.461,    10.088,     5.296
A24019,     0.000,    56.172,    13.435,     5.822
A24021,     0.000,    56.486,    21.914,     6.979
A24023,     0.000,    71.100,    11.012,     7.312
A24025,     0.000,    44.892,    30.275,    10.415
A24027,     0.000,    47.483,    24.127,    10.158
A24029,     0.000,    63.160,    14.176,     6.692
A24031,     0.000,    40.338,    22.809,    10.797
A24033,     0.000,    20.732,    21.561,    10.347
A24035,     0.000,    42.481,    29.944,     8.294
A24037,     0.000,    39.136,    13.478,     4.985
A24039,     0.000,    57.929,    12.959,     4.825
A24041,     0.000,    52.559,    16.164,     5.607
A24043,     0.000,     0.000,    78.255,    18.817
A24045,     0.000,    54.288,    19.245,     7.413
A24047,     0.000,    54.230,    17.913,     6.961
A24510,     0.000,    34.888,    33.257,     8.213
A36003,     0.000,    98.225,    13.826,     7.342
A36007,     0.000,   105.298,    29.391,    10.385
A36015,     0.000,    86.712,    12.865,     6.890
A36017,     0.000,   108.101,    25.386,    11.163
A36023,     0.000,    87.918,    37.301,    11.906
A36025,     0.000,   113.298,    29.925,    14.859
A36043,     0.000,   100.307,    19.422,    13.072
A36051,     0.000,    87.085,    25.974,     4.833
A36053,     0.000,    67.393,    40.103,    12.202
A36065,     0.000,    83.698,    24.196,    11.335
A36067,     0.000,    62.374,    31.693,    11.553
A36069,     0.000,    75.723,    22.795,     7.040
A36077,     0.000,    92.572,    23.521,    11.390
A36095,     0.000,    86.826,    26.456,    13.483
A36097,     0.000,    81.857,    13.819,     7.541
A36101,     0.000,    73.732,    17.083,     6.748
A36107,     0.000,   102.127,    16.570,     7.658
A36109,     0.000,    90.765,    10.165,     7.094
A36123,     0.000,    80.463,    16.569,     7.472
A42001,     0.000,    70.906,    16.700,     4.212
A42009,     0.000,    76.493,    20.370,     8.525
A42011,     0.000,    73.685,    16.708,     6.625
A42013,     0.000,    76.082,    33.042,     9.799
A42015,     0.000,    78.403,    14.705,     8.761
A42021,     0.000,    46.026,    12.168,     5.322
A42023,     0.000,    75.297,     8.017,     4.949
A42025,     0.000,    37.765,    11.007,    10.677
A42027,     0.000,    30.642,    50.654,    10.877
A42029,     0.000,    66.907,    33.874,    10.775
A42033,     0.000,    42.075,    21.972,     5.597
A42035,     0.000,    57.469,    30.501,     7.280
A42037,     0.000,    57.139,    19.267,     6.788
A42041,     0.000,    57.086,    28.110,     8.797
A42043,     0.000,    57.620,    26.590,     7.588
A42047,     0.000,    60.581,     9.448,     4.937
A42055,     0.000,    23.685,    58.020,    15.562
A42057,     0.000,    68.061,     8.102,     7.146
A42061,     0.000,    76.350,    17.461,     8.477
A42063,     0.000,    52.656,    16.443,     5.288
A42065,     0.000,    55.217,     8.389,     5.481
A42067,     0.000,    42.951,    30.318,     9.939
A42069,     0.000,    35.036,    42.675,    22.591
A42071,     0.000,    31.250,    72.650,    20.563
A42075,     0.000,    13.461,    80.013,    20.227
A42079,     0.000,    43.020,    21.750,    11.549
A42081,     0.000,    51.522,    18.532,     8.984
A42083,     0.000,    83.336,    11.031,     5.071
A42087,     0.000,    81.843,    20.027,     8.285
A42093,     0.000,    66.909,    16.556,     6.146
A42097,     0.000,    14.745,    54.585,    13.377
A42099,     0.000,    63.508,    16.831,     7.376
A42105,     0.000,    68.043,    20.934,     5.863
A42107,     0.000,    52.832,    20.177,     6.656
A42109,     0.000,    58.713,    17.237,     7.866
A42111,     0.000,    65.091,    15.327,     6.678
A42113,     0.000,    81.530,    10.819,    13.668
A42115,     0.000,    95.829,    13.096,    11.960
A42117,     0.000,    66.242,    20.993,     9.321
A42119,     0.000,    72.336,    17.635,     6.428
A42127,     0.000,   105.704,    14.326,    12.531
A42131,     0.000,    66.356,    15.596,    11.727
A42133,     0.000,    61.097,    28.180,     8.538
A51001,     0.000,    44.742,    11.510,     4.932
A51003,     0.000,    46.426,    35.994,     6.944
A51005,     0.493,    51.115,    34.105,    13.070
A51007,     0.000,    64.081,    15.729,     4.336
A51009,     0.000,    30.729,    53.319,    10.740
A51011,     0.000,    29.853,    24.376,     7.994
A51013,     0.000,    52.507,    18.071,     4.489
A51015,     0.000,    33.635,    50.445,    16.603
A51017,     0.000,    48.934,    27.783,     9.976
A51019,     0.000,    69.425,    18.739,    25.059
A51023,     0.000,    64.523,    19.115,     9.892
A51029,     0.000,    36.403,    19.919,     8.040
A51031,     0.000,    27.674,    21.790,     6.543
A51033,     0.000,    29.131,    32.642,     7.384
A51036,     0.000,    58.608,    21.550,     7.550
A51041,     0.000,    23.663,    27.233,     6.648
A51043,     0.000,    52.484,    29.523,     9.795
A51045,     0.000,    35.875,    31.699,    13.502
A51047,     0.000,    28.902,    46.701,    11.240
A51049,     0.000,    63.074,    23.252,    10.812
A51053,     0.000,    28.856,    20.842,     4.045
A51057,     0.000,    17.408,    50.574,     8.560
A51059,     0.000,    82.365,    23.087,     9.007
A51061,     0.000,    71.066,    15.864,     6.012
A51065,     0.000,     4.372,    45.722,     9.704
A51069,     0.000,    44.304,    19.177,     7.985
A51071,     0.431,    37.013,    33.458,    14.244
A51073,     0.000,    43.059,    14.161,     5.108
A51075,     0.000,    50.184,    24.061,     5.765
A51079,     0.000,    86.911,    21.614,    19.766
A51085,     0.000,    45.007,    24.393,     5.973
A51087,     0.000,    41.111,    20.124,     7.062
A51091,     0.000,    60.549,    36.982,    13.040
A51093,     0.000,     0.000,    54.868,    10.831
A51095,     0.000,    51.566,    14.571,     6.448
A51097,     0.000,    20.018,    43.260,     9.545
A51099,     0.000,    45.648,    21.511,     6.928
A51101,     0.000,    32.479,    37.124,     8.943
A51103,     0.000,    45.465,    17.792,     5.251
A51107,     0.000,    39.199,    26.055,     6.715
A51109,     0.000,    81.422,    11.569,     5.907
A51113,     0.000,    25.174,    67.225,    17.586
A51115,     0.000,    26.923,    16.496,     4.856
A51119,     0.000,    48.801,    15.859,     6.493
A51121,     0.000,    51.633,    35.393,    15.825
A51125,     0.000,    30.139,    32.603,     8.766
A51127,     0.000,    42.970,    18.676,     6.796
A51131,     0.000,    25.614,    15.138,     6.384
A51133,     0.000,    50.902,    19.182,     5.802
A51135,     0.000,    33.274,    33.842,    11.207
A51137,     0.000,    54.436,    40.047,     9.910
A51139,     0.000,     7.634,    70.912,    31.503
A51145,     0.000,    79.479,    15.567,     5.751
A51147,     0.000,    50.888,    19.099,     8.187
A51149,     0.000,    23.866,    31.994,     8.830
A51153,     0.000,    65.078,    14.608,     6.219
A51157,     0.000,    67.833,    24.456,     6.540
A51159,     0.000,    37.560,    27.145,     6.213
A51161,     0.000,    58.621,    22.498,     9.861
A51163,     0.000,    43.063,    35.317,    11.507
A51165,     0.000,    23.482,    81.290,    30.804
A51171,     0.000,    43.559,    35.817,    13.344
A51177,     0.000,    55.920,    15.601,     5.150
A51179,     0.000,    62.473,    16.566,     5.771
A51181,     0.000,    21.771,    29.389,     9.017
A51187,     0.000,    39.965,    28.826,    10.875
A51193,     0.000,    41.875,    27.437,     6.103
A51199,     0.000,    18.280,    18.328,     6.125
A51510,     0.000,     0.000,    58.813,     8.379
A51530,     0.000,    29.945,    45.312,     9.956
A51540,     0.000,    29.520,    26.947,     5.505
A51550,     0.000,    41.026,    22.350,     4.614
A51570,     0.000,    17.931,    20.138,     3.844
A51580,     0.000,    37.592,    34.319,     9.050
A51600,     0.000,    46.631,    23.565,     6.772
A51610,     0.000,     0.000,    65.158,     7.956
A51630,     0.000,    17.453,    42.084,     6.688
A51650,     0.000,    22.492,    24.638,     5.335
A51660,     0.000,     0.000,    66.825,    19.843
A51670,     0.000,     9.479,    44.142,     8.563
A51678,     0.000,     8.633,    48.257,     9.131
A51680,     0.000,    27.768,    40.104,     5.280
A51683,     0.000,    51.960,    15.976,     5.243
A51685,     0.000,    51.249,    18.146,     4.648
A51700,     0.000,    15.955,    33.849,     7.398
A51710,     0.000,    26.449,    22.633,     4.629
A51730,     0.000,     0.000,    33.975,     7.456
A51735,     0.000,     6.019,    37.310,    13.456
A51740,     0.000,    25.602,    26.333,     5.932
A51760,     0.000,    17.210,    26.670,     7.092
A51790,     0.000,     0.644,    36.202,     8.502
A51800,     0.000,    40.664,    18.410,     5.722
A51810,     0.000,    46.484,    22.950,     6.151
A51820,     0.000,    22.423,    44.405,    11.653
A51830,     0.000,    15.264,    33.301,     8.283
A51840,     0.000,     8.991,    35.265,     9.301
A54003,     0.000,     6.019,    52.668,    15.649
A54023,     0.000,    94.604,    13.253,     9.112
A54027,     0.000,    34.050,    37.338,    13.872
A54031,     0.000,    89.830,    25.987,    10.683
A54037,     0.000,    19.191,    52.463,    14.221
A54057,     0.000,    56.886,    26.419,    10.881
A54063,     0.000,    72.938,    17.004,    11.898
A54065,     0.000,    58.337,     8.152,     9.657
A54071,     0.000,    83.348,    26.225,    11.498
A54077,     0.000,    96.814,     2.938,     6.060
A54093,     0.000,    98.017,     0.291,     7.624
B24001,     0.000,    63.701,    19.456,    10.832
B24021,     0.000,    49.388,    28.355,     8.333
B42001,     0.000,    72.180,    12.664,     4.116
B42009,     0.000,    83.768,    12.746,     7.714
B42015,     0.000,    81.850,    11.627,     8.223
B42027,     0.000,    45.799,    37.227,     8.482
B42035,     0.000,    56.523,    32.577,     7.950
B42041,     0.000,     2.663,    68.552,    17.358
B42043,     0.000,    67.253,    20.044,     6.551
B42055,     0.000,    59.905,    28.855,     9.513
B42079,     0.000,    50.765,    10.871,    10.011
B42081,     0.000,    42.101,    29.642,    10.291
B42119,     0.000,    61.269,    29.009,     7.742
B42131,     0.000,    76.470,     7.861,    10.040
B51003,     0.000,    61.420,    27.609,     6.040
B51009,     0.000,    58.727,    28.013,     7.300
B51015,     0.000,    65.062,    24.450,    10.609
B51017,     0.000,    45.138,    28.324,    11.245
B51019,     0.000,    67.877,    17.514,    25.807
B51023,     0.000,    60.865,    23.761,    10.366
B51061,     0.000,    50.066,    34.597,     7.961
B51079,     0.000,    88.317,    28.394,    13.902
B51091,     0.076,    53.765,    55.170,    16.514
B51113,     0.000,    77.914,    32.503,     8.952
B51125,     0.000,    56.822,    14.649,     5.747
B51139,     0.000,    22.156,    59.934,    26.486
B51157,     0.000,    78.085,    16.656,     5.648
B51163,     0.000,    42.898,    38.181,    10.847
B51165,     0.000,   105.774,    21.244,    12.386
B51171,     0.000,    68.071,    14.204,     9.720
B51187,     0.000,    47.134,    23.753,     9.410
B54023,     0.000,    34.366,    49.634,    27.319
B54031,     0.000,    63.363,    43.420,    15.144
B54057,     0.000,    26.372,    38.139,    28.010
B54071,     0.000,    29.428,    63.754,    21.204
C42009,     0.000,    89.781,    11.861,     7.051
C51015,     0.000,    71.936,    15.251,     9.134
C51165,     0.000,    81.979,    44.347,    18.899
end
